sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1749,1.0413140000000001,-1.317955,1.583547,-0.92893300000000001,1.266726,-0.57587900000000003,0.27796900000000002,0.24260100000000001,-0.214675,0.087965000000000002,0.092152999999999999,-0.46809699999999999,0.536165,-0.70790600000000004,2.112857,0.193081,-5.1507899999999998,-5.9898049999999996,23.987974000000001,14.392626999999999,27.591712000000001
1750,1.0461670000000001,-1.3222229999999999,1.5853489999999999,-0.92693599999999998,1.256991,-0.56523800000000002,0.26338899999999998,0.238237,-0.208567,0.084822999999999996,0.10471999999999999,-0.48380499999999999,0.55082600000000004,-0.712094,-3.8821500000000002,1.0911999999999999,0.47093099999999999,-3.4115199999999999,12.208956000000001,26.693577999999999,9.5237269999999992
1751,1.050997,-1.3264629999999999,1.5870089999999999,-0.92480899999999999,1.2470829999999999,-0.554508,0.248755,0.239983,-0.21293000000000001,0.081681000000000004,0.10471999999999999,-0.48485200000000001,0.56129799999999996,-0.72361399999999998,-0.59580200000000005,2.639993,-1.7559499999999999,0.223216,22.212168999999999,30.527021999999999,-3.6948970000000001
1752,1.0558179999999999,-1.330632,1.588608,-0.92255100000000001,1.237009,-0.54365300000000005,0.23406199999999999,0.238237,-0.20158599999999999,0.074351,0.116239,-0.50056,0.567581,-0.72570800000000002,1.9808250000000001,1.981527,0.70718099999999995,-3.8476819999999998,7.1261890000000001,35.672373999999998,1.542262
1753,1.0606180000000001,-1.3347629999999999,1.5900510000000001,-0.92028100000000002,1.226715,-0.53269,0.21929899999999999,0.24085500000000001,-0.20943999999999999,0.071208999999999995,0.11833299999999999,-0.52359900000000004,0.55815599999999999,-0.72256600000000004,-1.4335469999999999,-5.1009149999999996,0.84746699999999997,1.711598,-14.704419,17.477029000000002,5.4324620000000001
1754,1.0654030000000001,-1.3388439999999999,1.5914649999999999,-0.917879,1.2162740000000001,-0.52164299999999997,0.20447899999999999,0.23910999999999999,-0.202458,0.067020999999999997,0.117286,-0.52883500000000006,0.53721200000000002,-0.71942499999999998,-1.911292,-0.68610400000000005,2.1640579999999998,-1.1873199999999999,-7.4753749999999997,-24.786774999999999,15.092995999999999
1755,1.0701700000000001,-1.3428739999999999,1.5927070000000001,-0.91535699999999998,1.205667,-0.51046100000000005,0.189609,0.238237,-0.19983999999999999,0.058643000000000001,0.12671099999999999,-0.51941000000000004,0.57177,-0.72570800000000002,0.83550100000000005,1.0943419999999999,1.6638029999999999,2.6887639999999999,20.347953,11.008184,25.669813000000001
1756,1.0749200000000001,-1.3468610000000001,1.593885,-0.91278800000000004,1.1948650000000001,-0.49918699999999999,0.17469799999999999,0.239983,-0.19983999999999999,0.056549000000000002,0.132994,-0.531976,0.56025100000000005,-0.75502899999999995,0.81315599999999999,-0.628417,-0.35453699999999999,2.729346,19.759499000000002,-2.2938550000000002,4.8518780000000001
1757,1.079636,-1.350814,1.5949629999999999,-0.910103,1.183889,-0.48784100000000002,0.159719,0.235619,-0.19722200000000001,0.050264999999999997,0.132994,-0.56234499999999998,0.58014699999999997,-0.77806799999999998,-0.55321900000000002,-1.875394,-0.66068300000000002,0.92462100000000003,-12.556075,12.634688000000001,-30.773561000000001
1758,1.084363,-1.3546879999999999,1.595896,-0.90732299999999999,1.172755,-0.47637600000000002,0.14472399999999999,0.23125599999999999,-0.194604,0.046077,0.13404099999999999,-0.57491099999999995,0.55082600000000004,-0.74351,-3.3980429999999999,-0.242337,2.6908859999999999,-5.6235759999999999,-22.403770999999999,-32.574823000000002,-11.791153
